all_agree,claim_disagreement_count,claim_disagreement_type,claim_key,claim_source,claude_dir,claude_eff,consensus_confidence,consensus_data_source,consensus_effect_pct,consensus_notes,consensus_support,cross_model_direction_agreement,cross_model_direction_set,cross_model_support_n,cross_model_unique_directions_n,element,element_mismatch_flag,gemini_dir,gemini_eff,has_factorial_structure,has_n,has_tc_confusion,has_variance,high_disagreement_flag,kimi_dir,kimi_eff,pairwise_claim_available,pairwise_element,pairwise_tissue,paper_agreement_fraction,paper_direction_agreement_rate,paper_id,paper_pairwise_all_agree_rate,paper_recon_warning_count,paper_recon_warnings,risk_flag_count,risk_flags,swap_risk_flag,tissue
,1,claude_only,002_Ziska_1997::Ca::grain,consensus_observation,,,high,Table 4,0.0,Models agree (diff=0.0%),2,,[],0,0,Ca,True,,,True,True,True,False,True,,,,,,0.3333,0.6667,002_Ziska_1997,0.0,6,"[""This paper focuses on growth/yield, not mineral concentrations - may not contain target data"", ""Paper has 3 CO2 levels (ambient, ambient+200, ambient+300) - need to identify which is treatment"", ""Temperature is a second factor that could confound CO2 effects"", ""Only grain quality data (Ca, K, protein, amylose) found - no vegetative tissue minerals"", ""Grain quality data shows decreasing trends with CO2 which is opposite to expected dilution effect"", ""Two growing seasons (wet/dry) may have different responses""]",7,"[""disagreement_present"", ""factorial_structure"", ""missing_variance"", ""paper_element_mismatch"", ""paper_high_disagreement"", ""partial_model_support"", ""tc_confusion""]",False,grain
False,1,claude_only,002_Ziska_1997::K::grain,consensus_observation,decrease,-0.0625,high,Table 4,-8.33333333333333,Models agree (diff=0.0%),2,True,"[""decrease""]",2,1,K,True,decrease,-0.0625,True,True,True,False,True,,,True,K,grain,0.3333,0.6667,002_Ziska_1997,0.0,6,"[""This paper focuses on growth/yield, not mineral concentrations - may not contain target data"", ""Paper has 3 CO2 levels (ambient, ambient+200, ambient+300) - need to identify which is treatment"", ""Temperature is a second factor that could confound CO2 effects"", ""Only grain quality data (Ca, K, protein, amylose) found - no vegetative tissue minerals"", ""Grain quality data shows decreasing trends with CO2 which is opposite to expected dilution effect"", ""Two growing seasons (wet/dry) may have different responses""]",7,"[""disagreement_present"", ""factorial_structure"", ""missing_variance"", ""paper_element_mismatch"", ""paper_high_disagreement"", ""partial_model_support"", ""tc_confusion""]",False,grain
False,4,kimi_only;kimi_only;kimi_only;kimi_only,002_Ziska_1997::N::grain,disagreement_only,,,low,Table 4,0.9999999999999963,Protein used as proxy for N concentration; data represents main effect of CO2 averaged across both temperature regimes; variance not reported in table,0,False,"[""decrease"", ""increase""]",2,2,N,True,decrease,-0.0419,True,True,True,False,True,increase,0.0219,True,N,grain,0.3333,0.6667,002_Ziska_1997,0.0,6,"[""This paper focuses on growth/yield, not mineral concentrations - may not contain target data"", ""Paper has 3 CO2 levels (ambient, ambient+200, ambient+300) - need to identify which is treatment"", ""Temperature is a second factor that could confound CO2 effects"", ""Only grain quality data (Ca, K, protein, amylose) found - no vegetative tissue minerals"", ""Grain quality data shows decreasing trends with CO2 which is opposite to expected dilution effect"", ""Two growing seasons (wet/dry) may have different responses""]",7,"[""disagreement_present"", ""factorial_structure"", ""missing_variance"", ""paper_element_mismatch"", ""paper_high_disagreement"", ""partial_model_support"", ""tc_confusion""]",False,grain
False,4,kimi_only;kimi_only;kimi_only;kimi_only,003_Baslam_2012::C::leaf,consensus_observation,,,high,Table 2,-10.788381742738594,Models agree (diff=0.0%),2,True,"[""increase""]",1,1,C,True,increase,0.0219,False,True,False,True,True,,,True,C,leaf,0.5,0.75,003_Baslam_2012,0.0,1,"[""Recon error: 'list' object has no attribute 'get'""]",5,"[""disagreement_present"", ""paper_element_mismatch"", ""paper_high_disagreement"", ""paper_swap_risk"", ""partial_model_support""]",True,leaf
,4,kimi_only;kimi_only;kimi_only;kimi_only,003_Baslam_2012::Ca::leaf,consensus_observation,,,high,Table 2,-30.769230769230777,Models agree (diff=0.0%),2,,[],0,0,Ca,True,,,False,True,False,True,True,,,,,,0.5,0.75,003_Baslam_2012,0.0,1,"[""Recon error: 'list' object has no attribute 'get'""]",5,"[""disagreement_present"", ""paper_element_mismatch"", ""paper_high_disagreement"", ""paper_swap_risk"", ""partial_model_support""]",True,leaf
,3,claude_only;kimi_only;kimi_only,003_Baslam_2012::Cu::leaf,consensus_observation,,,high,Table 2,25.000000000000007,Models agree (diff=0.0%),2,,[],0,0,Cu,True,,,False,True,False,True,True,,,,,,0.5,0.75,003_Baslam_2012,0.0,1,"[""Recon error: 'list' object has no attribute 'get'""]",5,"[""disagreement_present"", ""paper_element_mismatch"", ""paper_high_disagreement"", ""paper_swap_risk"", ""partial_model_support""]",True,leaf
,4,kimi_only;kimi_only;kimi_only;kimi_only,003_Baslam_2012::Fe::leaf,consensus_observation,,,high,Table 2,209.30232558139537,Models agree (diff=0.0%),2,,[],0,0,Fe,True,,,False,True,False,True,True,,,,,,0.5,0.75,003_Baslam_2012,0.0,1,"[""Recon error: 'list' object has no attribute 'get'""]",5,"[""disagreement_present"", ""paper_element_mismatch"", ""paper_high_disagreement"", ""paper_swap_risk"", ""partial_model_support""]",True,leaf
False,4,kimi_only;kimi_only;kimi_only;kimi_only,003_Baslam_2012::K::leaf,consensus_observation,increase,0.0308,high,Table 2,-11.627906976744185,Models agree (diff=0.0%),2,True,"[""increase""]",2,1,K,True,increase,0.0258,False,True,False,True,True,,,True,K,leaf,0.5,0.75,003_Baslam_2012,0.0,1,"[""Recon error: 'list' object has no attribute 'get'""]",5,"[""disagreement_present"", ""paper_element_mismatch"", ""paper_high_disagreement"", ""paper_swap_risk"", ""partial_model_support""]",True,leaf
,4,kimi_only;kimi_only;kimi_only;kimi_only,003_Baslam_2012::Mg::leaf,consensus_observation,,,high,Table 2,-31.25,Models agree (diff=0.0%),2,,[],0,0,Mg,True,,,False,True,False,True,True,,,,,,0.5,0.75,003_Baslam_2012,0.0,1,"[""Recon error: 'list' object has no attribute 'get'""]",5,"[""disagreement_present"", ""paper_element_mismatch"", ""paper_high_disagreement"", ""paper_swap_risk"", ""partial_model_support""]",True,leaf
,4,kimi_only;kimi_only;kimi_only;kimi_only,003_Baslam_2012::Mn::leaf,consensus_observation,,,high,Table 2,-38.01652892561983,Models agree (diff=0.0%),2,,[],0,0,Mn,True,,,False,True,False,True,True,,,,,,0.5,0.75,003_Baslam_2012,0.0,1,"[""Recon error: 'list' object has no attribute 'get'""]",5,"[""disagreement_present"", ""paper_element_mismatch"", ""paper_high_disagreement"", ""paper_swap_risk"", ""partial_model_support""]",True,leaf
