row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__study132__pair761,gt,gt_study132,yield,rice,seaweed,foliar,0.15,pooled,single_cell,unresolved,absolute_control,0.476,0.444,Supplementary Data 2 row pair=761 study=132,0,"study=132; author='Sharma, L.' 2017; crop='rice'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.15; Frequency=3; ContinusStudy=0; CtrlFreshYield=0.444; TreatmentFreshYield=0.476; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study132__pair762,gt,gt_study132,yield,rice,seaweed,foliar,0.3,pooled,single_cell,unresolved,absolute_control,0.5,0.444,Supplementary Data 2 row pair=762 study=132,0,"study=132; author='Sharma, L.' 2017; crop='rice'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.3; Frequency=3; ContinusStudy=0; CtrlFreshYield=0.444; TreatmentFreshYield=0.5; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study132__pair763,gt,gt_study132,yield,rice,seaweed,foliar,0.5,pooled,single_cell,unresolved,absolute_control,0.53,0.444,Supplementary Data 2 row pair=763 study=132,0,"study=132; author='Sharma, L.' 2017; crop='rice'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.5; Frequency=3; ContinusStudy=0; CtrlFreshYield=0.444; TreatmentFreshYield=0.53; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study132__pair764,gt,gt_study132,yield,rice,seaweed,foliar,0.67,pooled,single_cell,unresolved,absolute_control,0.547,0.444,Supplementary Data 2 row pair=764 study=132,0,"study=132; author='Sharma, L.' 2017; crop='rice'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.67; Frequency=3; ContinusStudy=0; CtrlFreshYield=0.444; TreatmentFreshYield=0.547; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study132__pair765,gt,gt_study132,yield,rice,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.574,0.444,Supplementary Data 2 row pair=765 study=132,0,"study=132; author='Sharma, L.' 2017; crop='rice'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=3; ContinusStudy=0; CtrlFreshYield=0.444; TreatmentFreshYield=0.574; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study132__pair766,gt,gt_study132,yield,rice,seaweed,foliar,0.15,pooled,single_cell,unresolved,absolute_control,0.472,0.444,Supplementary Data 2 row pair=766 study=132,0,"study=132; author='Sharma, L.' 2017; crop='rice'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.15; Frequency=3; ContinusStudy=0; CtrlFreshYield=0.444; TreatmentFreshYield=0.472; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study132__pair767,gt,gt_study132,yield,rice,seaweed,foliar,0.3,pooled,single_cell,unresolved,absolute_control,0.493,0.444,Supplementary Data 2 row pair=767 study=132,0,"study=132; author='Sharma, L.' 2017; crop='rice'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.3; Frequency=3; ContinusStudy=0; CtrlFreshYield=0.444; TreatmentFreshYield=0.493; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study132__pair768,gt,gt_study132,yield,rice,seaweed,foliar,0.5,pooled,single_cell,unresolved,absolute_control,0.522,0.444,Supplementary Data 2 row pair=768 study=132,0,"study=132; author='Sharma, L.' 2017; crop='rice'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.5; Frequency=3; ContinusStudy=0; CtrlFreshYield=0.444; TreatmentFreshYield=0.522; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study132__pair769,gt,gt_study132,yield,rice,seaweed,foliar,0.67,pooled,single_cell,unresolved,absolute_control,0.561,0.444,Supplementary Data 2 row pair=769 study=132,0,"study=132; author='Sharma, L.' 2017; crop='rice'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=0.67; Frequency=3; ContinusStudy=0; CtrlFreshYield=0.444; TreatmentFreshYield=0.561; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
gt__study132__pair770,gt,gt_study132,yield,rice,seaweed,foliar,1,pooled,single_cell,unresolved,absolute_control,0.569,0.444,Supplementary Data 2 row pair=770 study=132,0,"study=132; author='Sharma, L.' 2017; crop='rice'; PBsCategory='SWE'->seaweed; method='Foliar'->foliar; dose=1; Frequency=3; ContinusStudy=0; CtrlFreshYield=0.444; TreatmentFreshYield=0.569; unit=undeclared_in_GT_sheet->unresolved (no cross-side derivation, P4); paper_id=GT_native_no_AI_counterpart",claude-opus-4-8/decode_li2022_gt_v2
